url,verdict,coverageState,indexingState,lastCrawlTime,googleCanonical,userCanonical,crawledAs,canonicalMatch,liveCheck,issueBucket
https://ccamilocristian.github.io/,PASS,Submitted and indexed,INDEXING_ALLOWED,2026-09-16T01:58:30Z,https://ccamilocristian.github.io/,https://ccamilocristian.github.io/,MOBILE,Y,,OK_indexed
https://ccamilocristian.github.io/tabs/profile/,PASS,Submitted and indexed,INDEXING_ALLOWED,2026-09-16T18:19:16Z,https://ccamilocristian.github.io/tabs/profile/,https://ccamilocristian.github.io/tabs/profile/,MOBILE,Y,,OK_indexed
https://ccamilocristian.github.io/tabs/intelligence/,PASS,Submitted and indexed,INDEXING_ALLOWED,2026-06-27T10:19:38Z,https://ccamilocristian.github.io/tabs/intelligence/,https://ccamilocristian.github.io/tabs/intelligence/,MOBILE,Y,,OK_indexed
https://ccamilocristian.github.io/tabs/archives/,NEUTRAL,URL is unknown to Google,INDEXING_STATE_UNSPECIFIED,,,,,Y,,P1_hub_unknown
https://ccamilocristian.github.io/tabs/stack/,NEUTRAL,URL is unknown to Google,INDEXING_STATE_UNSPECIFIED,,,,,Y,,P1_hub_unknown
https://ccamilocristian.github.io/tabs/economics-lens/,NEUTRAL,URL is unknown to Google,INDEXING_STATE_UNSPECIFIED,,,,,Y,,P1_hub_unknown
https://ccamilocristian.github.io/posts/colombia-cpi-indexation-engine-english/,NEUTRAL,URL is unknown to Google,INDEXING_STATE_UNSPECIFIED,,,,,Y,"self-canonical, no noindex (spot-checked 2026-09-17)",P0_money_en_unknown
https://ccamilocristian.github.io/posts/real-cost-of-credit-colombia-english/,NEUTRAL,URL is unknown to Google,INDEXING_STATE_UNSPECIFIED,,,,,Y,"self-canonical, no noindex (spot-checked 2026-09-17)",P0_money_en_unknown
https://ccamilocristian.github.io/posts/music-player-english/,NEUTRAL,URL is unknown to Google,INDEXING_STATE_UNSPECIFIED,,,,,Y,"self-canonical, no noindex (spot-checked 2026-09-17)",P1_unknown
https://ccamilocristian.github.io/posts/convertidor-english/,NEUTRAL,URL is unknown to Google,INDEXING_STATE_UNSPECIFIED,,,,,Y,"self-canonical, no noindex (spot-checked 2026-09-17)",P1_unknown
https://ccamilocristian.github.io/posts/automation-sending/,NEUTRAL,URL is unknown to Google,INDEXING_STATE_UNSPECIFIED,,,,,Y,"self-canonical, no noindex (spot-checked 2026-09-17)",P1_unknown
https://ccamilocristian.github.io/posts/icfes-english/,NEUTRAL,URL is unknown to Google,INDEXING_STATE_UNSPECIFIED,,,,,Y,"self-canonical, no noindex (spot-checked 2026-09-17)",P1_unknown
https://ccamilocristian.github.io/posts/scraping-colombia-english/,NEUTRAL,URL is unknown to Google,INDEXING_STATE_UNSPECIFIED,,,,,Y,"self-canonical, no noindex (spot-checked 2026-09-17)",P1_unknown
https://ccamilocristian.github.io/posts/loan-simulator-english/,NEUTRAL,URL is unknown to Google,INDEXING_STATE_UNSPECIFIED,,,,,Y,"self-canonical, no noindex (spot-checked 2026-09-17)",P1_unknown
https://ccamilocristian.github.io/posts/minsalud-decrees-english/,NEUTRAL,URL is unknown to Google,INDEXING_STATE_UNSPECIFIED,,,,,Y,"self-canonical, no noindex (spot-checked 2026-09-17)",P1_unknown
https://ccamilocristian.github.io/posts/step-colombia-english/,NEUTRAL,URL is unknown to Google,INDEXING_STATE_UNSPECIFIED,,,,,Y,"self-canonical, no noindex (spot-checked 2026-09-17)",P1_unknown
https://ccamilocristian.github.io/posts/optimation-consumer-english/,PASS,Submitted and indexed,INDEXING_ALLOWED,2026-07-09T18:49:34Z,https://ccamilocristian.github.io/posts/optimation-consumer-english/,https://ccamilocristian.github.io/posts/optimation-consumer-english/,MOBILE,Y,"self-canonical, no noindex (spot-checked 2026-09-17)",OK_indexed
https://ccamilocristian.github.io/posts/creating-fun-game/,NEUTRAL,URL is unknown to Google,INDEXING_STATE_UNSPECIFIED,,,,,Y,"self-canonical, no noindex (spot-checked 2026-09-17)",P1_unknown
https://ccamilocristian.github.io/posts/experimental-desing/,NEUTRAL,URL is unknown to Google,INDEXING_STATE_UNSPECIFIED,,,,,Y,"self-canonical, no noindex (spot-checked 2026-09-17)",P1_unknown
https://ccamilocristian.github.io/posts/mastering-visualization-plotly/,NEUTRAL,URL is unknown to Google,INDEXING_STATE_UNSPECIFIED,,,,,Y,"self-canonical, no noindex (spot-checked 2026-09-17)",P1_unknown
https://ccamilocristian.github.io/posts/behavioral-economics-data-analysis-applications/,NEUTRAL,URL is unknown to Google,INDEXING_STATE_UNSPECIFIED,,,,,Y,"self-canonical, no noindex (spot-checked 2026-09-17)",P1_unknown
https://ccamilocristian.github.io/posts/introduction-pyautogui-be/,NEUTRAL,URL is unknown to Google,INDEXING_STATE_UNSPECIFIED,,,,,Y,"self-canonical, no noindex (spot-checked 2026-09-17)",P1_unknown
https://ccamilocristian.github.io/posts/mcp-bigquery-server-python-english/,NEUTRAL,URL is unknown to Google,INDEXING_STATE_UNSPECIFIED,,,,,Y,"self-canonical, no noindex (spot-checked 2026-09-17)",P0_money_en_unknown
https://ccamilocristian.github.io/posts/local-rag-ollama-python-english/,NEUTRAL,URL is unknown to Google,INDEXING_STATE_UNSPECIFIED,,,,,Y,"self-canonical, no noindex (spot-checked 2026-09-17)",P0_money_en_unknown
https://ccamilocristian.github.io/posts/automatizacion-envio-correos/,NEUTRAL,Excluded by ‘noindex’ tag,BLOCKED_BY_META_TAG,2026-06-24T13:08:30Z,https://ccamilocristian.github.io/posts/automatizacion-envio-correos/,https://ccamilocristian.github.io//posts/automation-sending/,MOBILE,N,"LIVE OK: self-canonical, no robots noindex",P0_stale_noindex_needs_recrawl
https://ccamilocristian.github.io/posts/scraping-plebiscito-colombia/,NEUTRAL,Crawled - currently not indexed,INDEXING_ALLOWED,2026-05-08T20:12:33Z,https://ccamilocristian.github.io/posts/scraping-plebiscito-colombia/,https://ccamilocristian.github.io//posts/scraping-plebiscito-colombia/,MOBILE,N,"self-canonical, no noindex (spot-checked 2026-09-17)",P0_crawled_not_indexed
https://ccamilocristian.github.io/posts/optimizacion_teoria_consumidor/,NEUTRAL,Excluded by ‘noindex’ tag,BLOCKED_BY_META_TAG,2026-07-21T21:47:55Z,https://ccamilocristian.github.io/posts/optimation-consumer-english/,https://ccamilocristian.github.io/posts/optimation-consumer-english/,MOBILE,Y,"LIVE OK: self-canonical, no robots noindex",P0_stale_noindex_needs_recrawl
